id,gpsCoordinatesLongitude,gpsCoordinatesLatitude,location,tehsil,pincode,district,ward
cm725evf8002ru6o4yz567qr,76.7800,21.1500,Yavatmal,Yavatmal,445001,Yavatmal,Yavatmal City
cm725evf9002su6o4abc890st,78.9600,21.1500,Bhandara,Bhandara,441904,Bhandara,Bhandara City
cm725evfa002tu6o4def123uv,79.6600,21.1800,Gondia,Gondia,441601,Gondia,Gondia City
cm725evfb002uu6o4ghi456wx,80.2900,20.7300,Gadchiroli,Gadchiroli,442605,Gadchiroli,Gadchiroli City
cm725evfc002vu6o4jkl789yz,73.8900,18.7500,Lonavala,Maval,410401,Pune,Lonavala City
cm725evfd002wu6o4mno012ab,73.6500,18.9200,Talegaon,Maval,410507,Pune,Talegaon Dabhade
cm725evfe002xu6o4pqr345cd,74.7500,19.1100,Ahmednagar,Ahmednagar,414001,Ahmednagar,Ahmednagar City
cm725evff002yu6o4stu678ef,75.1600,19.8700,Jalgaon,Jalgaon,425001,Jalgaon,Jalgaon City
cm725evfg002zu6o4vwx901gh,74.2300,20.0100,Dhule,Dhule,424001,Dhule,Dhule City
cm725evfh0030u6o4yz234ij,74.4700,20.5500,Nandurbar,Nandurbar,425412,Nandurbar,Nandurbar City
cm725evfi0031u6o4abc567kl,73.0500,18.6500,Pen,Pen,402107,Raigad,Pen City
cm725evfj0032u6o4def890mn,72.9800,18.2800,Murud,Murud,402401,Raigad,Murud City
cm725evfk0033u6o4ghi123op,73.4300,17.9700,Mahad,Mahad,402301,Raigad,Mahad City
cm725evfl0034u6o4jkl456qr,73.1900,17.0000,Dapoli,Dapoli,415712,Ratnagiri,Dapoli City
cm725evfm0035u6o4mno789st,73.6500,17.3000,Khed,Khed,415709,Ratnagiri,Khed City
cm725evfn0036u6o4pqr012uv,73.8200,17.6700,Karad,Karad,415110,Satara,Karad City
cm725evfo0037u6o4stu345wx,74.3500,17.2700,Patan,Patan,415206,Satara,Patan City
cm725evfp0038u6o4vwx678yz,74.6500,16.8500,Ichalkaranji,Hatkanangle,416115,Kolhapur,Ichalkaranji City
cm725evfq0039u6o4abc901ab,74.2500,17.0000,Kodoli,Panhala,416114,Kolhapur,Kodoli City
cm725evfr003au6o4def234cd,74.5700,16.5900,Kagal,Kagal,416216,Kolhapur,Kagal City
cm725evfs003bu6o4ghi567ef,74.3000,16.9200,Vita,Khanapur,415311,Sangli,Vita City
cm725evft003cu6o4jkl890gh,74.5700,16.8500,Islampur,Walwa,415409,Sangli,Islampur City
cm725evfu003du6o4mno123ij,75.2000,18.4000,Baramati,Baramati,413102,Pune,Baramati City
cm725evfv003eu6o4pqr456kl,74.7300,18.5500,Indapur,Indapur,413106,Pune,Indapur City
cm725evfw003fu6o4stu789mn,75.3300,18.6700,Daund,Daund,413801,Pune,Daund City
cm725evfx003gu6o4vwx012op,74.0000,19.5300,Sangamner,Sangamner,422605,Ahmednagar,Sangamner City
cm725evfy003hu6o4yz345qr,74.7500,19.6000,Shrirampur,Shrirampur,413709,Ahmednagar,Shrirampur City
cm725evfz003iu6o4abc678st,74.1800,19.9500,Malegaon,Malegaon,423203,Nashik,Malegaon City
cm725evg0003ju6o4def901uv,73.7900,20.1000,Sinnar,Sinnar,422103,Nashik,Sinnar City
cm725evg1003ku6o4ghi234wx,74.4700,20.0300,Manmad,Nandgaon,423104,Nashik,Manmad City
cm725evg2003lu6o4jkl567yz,75.5600,19.8500,Bhusawal,Bhusawal,425201,Jalgaon,Bhusawal City
cm725evg3003mu6o4mno890ab,75.7800,21.0000,Chopda,Chopda,425107,Jalgaon,Chopda City
cm725evg4003nu6o4pqr123cd,74.7700,20.9000,Shahada,Shahada,425409,Nandurbar,Shahada City
cm725evg5003ou6o4stu456ef,76.1800,20.9300,Malkapur,Malkapur,443101,Buldhana,Malkapur City
cm725evg6003pu6o4vwx789gh,76.5300,20.1000,Shegaon,Shegaon,444203,Buldhana,Shegaon City
cm725evg7003qu6o4yz012ij,77.3200,19.9500,Washim,Washim,444505,Washim,Washim City
cm725evg8003ru6o4abc345kl,77.1500,20.7000,Karanja,Karanja,444105,Washim,Karanja City
cm725evg9003su6o4def678mn,77.7500,19.9500,Hingoli,Hingoli,431513,Hingoli,Hingoli City
cm725evga003tu6o4ghi901op,76.7800,19.2600,Purna,Purna,431511,Parbhani,Purna City
cm725evgb003uu6o4jkl234qr,75.9200,18.4000,Osmanabad,Osmanabad,413501,Osmanabad,Osmanabad City
cm725evgc003vu6o4mno567st,76.1500,18.6700,Latur,Latur,413512,Latur,Latur City
cm725evgd003wu6o4pqr890uv,77.3000,17.6700,Nanded,Nanded,431601,Nanded,Nanded City
cm725evge003xu6o4stu123wx,73.4000,16.7000,Vengurla,Vengurla,416516,Sindhudurg,Vengurla City
cm725evgf003yu6o4vwx456yz,73.3500,16.9900,Malvan,Malvan,416606,Sindhudurg,Malvan City
cm725evgg003zu6o4abc789ab,73.7000,16.8500,Sawantwadi,Sawantwadi,416510,Sindhudurg,Sawantwadi City
cm725evgh0040u6o4def012cd,73.3200,17.6000,Rajapur,Rajapur,416702,Ratnagiri,Rajapur City
cm725evgi0041u6o4ghi345ef,73.1900,17.8200,Guhagar,Guhagar,415703,Ratnagiri,Guhagar City
cm725evgj0042u6o4jkl678gh,73.5200,17.9100,Mandangad,Mandangad,415203,Ratnagiri,Mandangad City
cm725evgk0043u6o4mno901ij,73.2800,17.5600,Lanja,Lanja,416701,Ratnagiri,Lanja City
cm725evgl0044u6o4pqr234kl,73.4100,17.7400,Sangameshwar,Sangameshwar,415611,Ratnagiri,Sangameshwar City
cm725evgm0045u6o4stu567mn,73.6300,16.9900,Devgad,Devgad,416613,Sindhudurg,Devgad City
cm725evgn0046u6o4vwx890op,73.5000,16.8700,Kankavli,Kankavli,416602,Sindhudurg,Kankavli City
cm725evgo0047u6o4yz123qr,73.4600,16.7800,Kudal,Kudal,416520,Sindhudurg,Kudal City
cm725evgp0048u6o4abc456st,73.8200,16.9900,Dodamarg,Dodamarg,416512,Sindhudurg,Dodamarg City
cm725evgq0049u6o4def789uv,73.9900,17.2800,Patan,Patan,415206,Satara,Patan City
cm725evgr004au6o4ghi012wx,74.1700,17.4500,Wai,Wai,412803,Satara,Wai City
cm725evgs004bu6o4jkl345yz,74.3500,17.5900,Khandala,Khandala,412802,Satara,Khandala City
cm725evgt004cu6o4mno678ab,74.2800,17.3400,Mahabaleshwar,Mahabaleshwar,412806,Satara,Mahabaleshwar City
cm725evgu004du6o4pqr901cd,74.4700,17.2800,Koregaon,Koregaon,415501,Satara,Koregaon City
cm725evgv004eu6o4stu234ef,74.5900,17.1600,Man,Man,415540,Satara,Man City
cm725evgw004fu6o4vwx567gh,74.6500,17.0400,Khatav,Khatav,415505,Satara,Khatav City
cm725evgx004gu6o4yz890ij,74.3200,16.7000,Shirala,Shirala,415408,Sangli,Shirala City
cm725evgy004hu6o4abc123kl,74.4500,16.8500,Walwa,Walwa,415409,Sangli,Walwa City
cm725evgz004iu6o4def456mn,74.5700,16.9900,Kadegaon,Kadegaon,415304,Sangli,Kadegaon City
cm725evh0004ju6o4ghi789op,74.6900,16.8500,Atpadi,Atpadi,415315,Sangli,Atpadi City
cm725evh1004ku6o4jkl012qr,74.7500,16.7000,Tasgaon,Tasgaon,416312,Sangli,Tasgaon City
cm725evh2004lu6o4mno345st,74.8200,16.5500,Jat,Jat,416404,Sangli,Jat City
cm725evh3004mu6o4pqr678uv,74.2300,16.6500,Shirol,Shirol,416103,Kolhapur,Shirol City
cm725evh4004nu6o4stu901wx,74.3500,16.5900,Gadhinglaj,Gadhinglaj,416502,Kolhapur,Gadhinglaj City
cm725evh5004ou6o4vwx234yz,74.4700,16.5300,Chandgad,Chandgad,416509,Kolhapur,Chandgad City
cm725evh6004pu6o4abc567ab,74.5900,16.4700,Ajra,Ajra,416505,Kolhapur,Ajra City
cm725evh7004qu6o4def890cd,74.7100,16.4100,Bhudargad,Bhudargad,416209,Kolhapur,Bhudargad City
cm725evh8004ru6o4ghi123ef,74.8300,16.3500,Radhanagari,Radhanagari,416212,Kolhapur,Radhanagari City
cm725evh9004su6o4jkl456gh,74.9500,16.2900,Gaganbawada,Gaganbawada,416206,Kolhapur,Gaganbawada City
cm725evha004tu6o4mno789ij,75.0700,16.2300,Shahuwadi,Shahuwadi,416213,Kolhapur,Shahuwadi City
cm725evhb004uu6o4pqr012kl,75.1900,16.1700,Karvir,Karvir,416234,Kolhapur,Karvir City
cm725evhc004vu6o4stu345mn,75.3100,16.1100,Panhala,Panhala,416201,Kolhapur,Panhala City
cm725evhd004wu6o4vwx678op,75.4300,16.0500,Hatkanangle,Hatkanangle,416109,Kolhapur,Hatkanangle City
cm725evhe004xu6o4yz901qr,75.5500,15.9900,Shirol,Shirol,416103,Kolhapur,Shirol City
cm725evhf004yu6o4abc234st,75.6700,15.9300,Kagal,Kagal,416216,Kolhapur,Kagal City
cm725evhg004zu6o4def567uv,75.7900,15.8700,Gadhinglaj,Gadhinglaj,416502,Kolhapur,Gadhinglaj City
cm725evhh0050u6o4ghi890wx,75.9100,15.8100,Chandgad,Chandgad,416509,Kolhapur,Chandgad City
cm725evhi0051u6o4jkl123yz,76.0300,15.7500,Ajra,Ajra,416505,Kolhapur,Ajra City
cm725evhj0052u6o4mno456ab,76.1500,15.6900,Bhudargad,Bhudargad,416209,Kolhapur,Bhudargad City
cm725evhk0053u6o4pqr789cd,76.2700,15.6300,Radhanagari,Radhanagari,416212,Kolhapur,Radhanagari City
cm725evhl0054u6o4stu012ef,76.3900,15.5700,Gaganbawada,Gaganbawada,416206,Kolhapur,Gaganbawada City
cm725evhm0055u6o4vwx345gh,76.5100,15.5100,Shahuwadi,Shahuwadi,416213,Kolhapur,Shahuwadi City
cm725evhn0056u6o4yz678ij,76.6300,15.4500,Karvir,Karvir,416234,Kolhapur,Karvir City
cm725evho0057u6o4abc901kl,76.7500,15.3900,Panhala,Panhala,416201,Kolhapur,Panhala City
cm725evhp0058u6o4def234mn,76.8700,15.3300,Hatkanangle,Hatkanangle,416109,Kolhapur,Hatkanangle City
cm725evhq0059u6o4ghi567op,76.9900,15.2700,Shirol,Shirol,416103,Kolhapur,Shirol City
cm725evhr005au6o4jkl890qr,77.1100,15.2100,Kagal,Kagal,416216,Kolhapur,Kagal City
cm725evhs005bu6o4mno123st,77.2300,15.1500,Gadhinglaj,Gadhinglaj,416502,Kolhapur,Gadhinglaj City
cm725evht005cu6o4pqr456uv,77.3500,15.0900,Chandgad,Chandgad,416509,Kolhapur,Chandgad City
cm725evhu005du6o4stu789wx,77.4700,15.0300,Ajra,Ajra,416505,Kolhapur,Ajra City
cm725evhv005eu6o4vwx012yz,77.5900,14.9700,Bhudargad,Bhudargad,416209,Kolhapur,Bhudargad City
cm725evhw005fu6o4abc345ab,77.7100,14.9100,Radhanagari,Radhanagari,416212,Kolhapur,Radhanagari City
cm725evhx005gu6o4def678cd,77.8300,14.8500,Gaganbawada,Gaganbawada,416206,Kolhapur,Gaganbawada City
cm725evhy005hu6o4ghi901ef,77.9500,14.7900,Shahuwadi,Shahuwadi,416213,Kolhapur,Shahuwadi City
cm725evhz005iu6o4jkl234gh,78.0700,14.7300,Karvir,Karvir,416234,Kolhapur,Karvir City
cm725evi0005ju6o4mno567ij,78.1900,14.6700,Panhala,Panhala,416201,Kolhapur,Panhala City
cm725evi1005ku6o4pqr890kl,78.3100,14.6100,Hatkanangle,Hatkanangle,416109,Kolhapur,Hatkanangle City
cm725evi2005lu6o4stu123mn,78.4300,14.5500,Shirol,Shirol,416103,Kolhapur,Shirol City
cm725evi3005mu6o4vwx456op,78.5500,14.4900,Kagal,Kagal,416216,Kolhapur,Kagal City
cm725evi4005nu6o4yz789qr,78.6700,14.4300,Gadhinglaj,Gadhinglaj,416502,Kolhapur,Gadhinglaj City
cm725evi5005ou6o4abc012st,78.7900,14.3700,Chandgad,Chandgad,416509,Kolhapur,Chandgad City
cm725evi6005pu6o4def345uv,78.9100,14.3100,Ajra,Ajra,416505,Kolhapur,Ajra City
cm725evi7005qu6o4ghi678wx,79.0300,14.2500,Bhudargad,Bhudargad,416209,Kolhapur,Bhudargad City
cm725evi8005ru6o4jkl901yz,79.1500,14.1900,Radhanagari,Radhanagari,416212,Kolhapur,Radhanagari City
cm725evi9005su6o4mno234ab,79.2700,14.1300,Gaganbawada,Gaganbawada,416206,Kolhapur,Gaganbawada City
cm725evia005tu6o4pqr567cd,79.3900,14.0700,Shahuwadi,Shahuwadi,416213,Kolhapur,Shahuwadi City
cm725evib005uu6o4stu890ef,79.5100,14.0100,Karvir,Karvir,416234,Kolhapur,Karvir City
cm725evic005vu6o4vwx123gh,79.6300,13.9500,Panhala,Panhala,416201,Kolhapur,Panhala City
cm725evid005wu6o4yz456ij,79.7500,13.8900,Hatkanangle,Hatkanangle,416109,Kolhapur,Hatkanangle City
cm725evie005xu6o4abc789kl,79.8700,13.8300,Shirol,Shirol,416103,Kolhapur,Shirol City
cm725evif005yu6o4def012mn,79.9900,13.7700,Kagal,Kagal,416216,Kolhapur,Kagal City
cm725evig005zu6o4ghi345op,80.1100,13.7100,Gadhinglaj,Gadhinglaj,416502,Kolhapur,Gadhinglaj City
cm725evih0060u6o4jkl678qr,80.2300,13.6500,Chandgad,Chandgad,416509,Kolhapur,Chandgad City
cm725evii0061u6o4mno901st,80.3500,13.5900,Ajra,Ajra,416505,Kolhapur,Ajra City
cm725evij0062u6o4pqr234uv,80.4700,13.5300,Bhudargad,Bhudargad,416209,Kolhapur,Bhudargad City
cm725evik0063u6o4stu567wx,80.5900,13.4700,Radhanagari,Radhanagari,416212,Kolhapur,Radhanagari City
cm725evil0064u6o4vwx890yz,80.7100,13.4100,Gaganbawada,Gaganbawada,416206,Kolhapur,Gaganbawada City
cm725evim0065u6o4abc123ab,80.8300,13.3500,Shahuwadi,Shahuwadi,416213,Kolhapur,Shahuwadi City
cm725evin0066u6o4def456cd,80.9500,13.2900,Karvir,Karvir,416234,Kolhapur,Karvir City
cm725evio0067u6o4ghi789ef,81.0700,13.2300,Panhala,Panhala,416201,Kolhapur,Panhala City
cm725evip0068u6o4jkl012gh,81.1900,13.1700,Hatkanangle,Hatkanangle,416109,Kolhapur,Hatkanangle City
cm725eviq0069u6o4mno345ij,81.3100,13.1100,Shirol,Shirol,416103,Kolhapur,Shirol City
cm725evir006au6o4pqr678kl,81.4300,13.0500,Kagal,Kagal,416216,Kolhapur,Kagal City
cm725evis006bu6o4stu901mn,81.5500,12.9900,Gadhinglaj,Gadhinglaj,416502,Kolhapur,Gadhinglaj City
cm725evit006cu6o4vwx234op,81.6700,12.9300,Chandgad,Chandgad,416509,Kolhapur,Chandgad City
cm725eviu006du6o4yz567qr,81.7900,12.8700,Ajra,Ajra,416505,Kolhapur,Ajra City
cm725eviv006eu6o4abc890st,81.9100,12.8100,Bhudargad,Bhudargad,416209,Kolhapur,Bhudargad City
cm725eviw006fu6o4def123uv,82.0300,12.7500,Radhanagari,Radhanagari,416212,Kolhapur,Radhanagari City
cm725evix006gu6o4ghi456wx,82.1500,12.6900,Gaganbawada,Gaganbawada,416206,Kolhapur,Gaganbawada City
cm725eviy006hu6o4jkl789yz,82.2700,12.6300,Shahuwadi,Shahuwadi,416213,Kolhapur,Shahuwadi City
cm725eviz006iu6o4mno012ab,82.3900,12.5700,Karvir,Karvir,416234,Kolhapur,Karvir City
cm725evj0006ju6o4pqr345cd,82.5100,12.5100,Panhala,Panhala,416201,Kolhapur,Panhala City
cm725evj1006ku6o4stu678ef,82.6300,12.4500,Hatkanangle,Hatkanangle,416109,Kolhapur,Hatkanangle City
cm725evj2006lu6o4vwx901gh,82.7500,12.3900,Shirol,Shirol,416103,Kolhapur,Shirol City
cm725evj3006mu6o4yz234ij,82.8700,12.3300,Kagal,Kagal,416216,Kolhapur,Kagal City
cm725evj4006nu6o4abc567kl,82.9900,12.2700,Gadhinglaj,Gadhinglaj,416502,Kolhapur,Gadhinglaj City
cm725evj5006ou6o4def890mn,83.1100,12.2100,Chandgad,Chandgad,416509,Kolhapur,Chandgad City
cm725evj6006pu6o4ghi123op,83.2300,12.1500,Ajra,Ajra,416505,Kolhapur,Ajra City
cm725evj7006qu6o4jkl456qr,83.3500,12.0900,Bhudargad,Bhudargad,416209,Kolhapur,Bhudargad City
cm725evj8006ru6o4mno789st,83.4700,12.0300,Radhanagari,Radhanagari,416212,Kolhapur,Radhanagari City
cm725evj9006su6o4pqr012uv,83.5900,11.9700,Gaganbawada,Gaganbawada,416206,Kolhapur,Gaganbawada City
cm725evja006tu6o4stu345wx,83.7100,11.9100,Shahuwadi,Shahuwadi,416213,Kolhapur,Shahuwadi City
cm725evjb006uu6o4vwx678yz,83.8300,11.8500,Karvir,Karvir,416234,Kolhapur,Karvir City
cm725evjc006vu6o4yz901ab,83.9500,11.7900,Panhala,Panhala,416201,Kolhapur,Panhala City
cm725evjd006wu6o4abc234cd,84.0700,11.7300,Hatkanangle,Hatkanangle,416109,Kolhapur,Hatkanangle City
cm725evje006xu6o4def567ef,84.1900,11.6700,Shirol,Shirol,416103,Kolhapur,Shirol City
cm725evjf006yu6o4ghi890gh,84.3100,11.6100,Kagal,Kagal,416216,Kolhapur,Kagal City
cm725evjg006zu6o4jkl123ij,84.4300,11.5500,Gadhinglaj,Gadhinglaj,416502,Kolhapur,Gadhinglaj City
cm725evjh0070u6o4mno456kl,84.5500,11.4900,Chandgad,Chandgad,416509,Kolhapur,Chandgad City
cm725evji0071u6o4pqr789mn,84.6700,11.4300,Ajra,Ajra,416505,Kolhapur,Ajra City
cm725evjj0072u6o4stu012op,84.7900,11.3700,Bhudargad,Bhudargad,416209,Kolhapur,Bhudargad City
cm725evjk0073u6o4vwx345qr,84.9100,11.3100,Radhanagari,Radhanagari,416212,Kolhapur,Radhanagari City
cm725evjl0074u6o4yz678st,85.0300,11.2500,Gaganbawada,Gaganbawada,416206,Kolhapur,Gaganbawada City
cm725evjm0075u6o4abc901uv,85.1500,11.1900,Shahuwadi,Shahuwadi,416213,Kolhapur,Shahuwadi City
cm725evjn0076u6o4def234wx,85.2700,11.1300,Karvir,Karvir,416234,Kolhapur,Karvir City
cm725evjo0077u6o4ghi567yz,85.3900,11.0700,Panhala,Panhala,416201,Kolhapur,Panhala City
cm725evjp0078u6o4jkl890ab,85.5100,11.0100,Hatkanangle,Hatkanangle,416109,Kolhapur,Hatkanangle City
cm725evjq0079u6o4mno123cd,85.6300,10.9500,Shirol,Shirol,416103,Kolhapur,Shirol City
cm725evjr007au6o4pqr456ef,85.7500,10.8900,Kagal,Kagal,416216,Kolhapur,Kagal City
cm725evjs007bu6o4stu789gh,85.8700,10.8300,Gadhinglaj,Gadhinglaj,416502,Kolhapur,Gadhinglaj City
cm725evjt007cu6o4vwx012ij,85.9900,10.7700,Chandgad,Chandgad,416509,Kolhapur,Chandgad City
cm725evju007du6o4yz345kl,86.1100,10.7100,Ajra,Ajra,416505,Kolhapur,Ajra City
cm725evjv007eu6o4abc678mn,86.2300,10.6500,Bhudargad,Bhudargad,416209,Kolhapur,Bhudargad City
cm725evjw007fu6o4def901op,86.3500,10.5900,Radhanagari,Radhanagari,416212,Kolhapur,Radhanagari City
cm725evjx007gu6o4ghi234qr,73.2100,20.1500,Igatpuri,Igatpuri,422403,Nashik,Igatpuri City
cm725evjy007hu6o4jkl567st,73.4300,20.3300,Trimbakeshwar,Trimbakeshwar,422212,Nashik,Trimbakeshwar City
cm725evjz007iu6o4mno890uv,73.7900,20.0100,Sangamner,Sangamner,422605,Ahmednagar,Sangamner City
cm725evk0007ju6o4pqr123wx,74.1800,19.5700,Shrirampur,Shrirampur,413709,Ahmednagar,Shrirampur City
cm725evk1007ku6o4stu456yz,74.4700,19.2800,Kopargaon,Kopargaon,423601,Ahmednagar,Kopargaon City
cm725evk2007lu6o4vwx789ab,74.6500,19.1100,Rahuri,Rahuri,413705,Ahmednagar,Rahuri City
cm725evk3007mu6o4yz012cd,74.8200,18.9900,Shevgaon,Shevgaon,414502,Ahmednagar,Shevgaon City
cm725evk4007nu6o4abc345ef,75.0000,18.8700,Pathardi,Pathardi,414102,Ahmednagar,Pathardi City
cm725evk5007ou6o4def678gh,75.1800,18.7500,Jamkhed,Jamkhed,413201,Ahmednagar,Jamkhed City
cm725evk6007pu6o4ghi901ij,75.3500,18.6300,Karjat,Karjat,414402,Ahmednagar,Karjat City
cm725evk7007qu6o4jkl234kl,75.5300,18.5100,Parner,Parner,414302,Ahmednagar,Parner City
cm725evk8007ru6o4mno567mn,75.7100,18.3900,Shrigonda,Shrigonda,413701,Ahmednagar,Shrigonda City
cm725evk9007su6o4pqr890op,75.8800,18.2700,Nagar,Nagar,414001,Ahmednagar,Nagar City
cm725evka007tu6o4stu123qr,76.0600,18.1500,Rahata,Rahata,413712,Ahmednagar,Rahata City
cm725evkb007uu6o4vwx456st,76.2400,18.0300,Nevasa,Nevasa,414105,Ahmednagar,Nevasa City
cm725evkc007vu6o4yz789uv,76.4100,17.9100,Shevgaon,Shevgaon,414502,Ahmednagar,Shevgaon City
cm725evkd007wu6o4abc012wx,76.5900,17.7900,Pathardi,Pathardi,414102,Ahmednagar,Pathardi City
cm725evke007xu6o4def345yz,76.7700,17.6700,Jamkhed,Jamkhed,413201,Ahmednagar,Jamkhed City
cm725evkf007yu6o4ghi678ab,76.9400,17.5500,Karjat,Karjat,414402,Ahmednagar,Karjat City
cm725evkg007zu6o4jkl901cd,77.1200,17.4300,Parner,Parner,414302,Ahmednagar,Parner City
cm725evkh0080u6o4mno234ef,77.3000,17.3100,Shrigonda,Shrigonda,413701,Ahmednagar,Shrigonda City
cm725evki0081u6o4pqr567gh,77.4700,17.1900,Nagar,Nagar,414001,Ahmednagar,Nagar City
cm725evkj0082u6o4stu890ij,77.6500,17.0700,Rahata,Rahata,413712,Ahmednagar,Rahata City
cm725evkk0083u6o4vwx123kl,77.8300,16.9500,Nevasa,Nevasa,414105,Ahmednagar,Nevasa City
cm725evkl0084u6o4yz456mn,78.0000,16.8300,Shevgaon,Shevgaon,414502,Ahmednagar,Shevgaon City
cm725evkm0085u6o4abc789op,78.1800,16.7100,Pathardi,Pathardi,414102,Ahmednagar,Pathardi City
cm725evkn0086u6o4def012qr,78.3600,16.5900,Jamkhed,Jamkhed,413201,Ahmednagar,Jamkhed City
cm725evko0087u6o4ghi345st,78.5300,16.4700,Karjat,Karjat,414402,Ahmednagar,Karjat City
cm725evkp0088u6o4jkl678uv,78.7100,16.3500,Parner,Parner,414302,Ahmednagar,Parner City
cm725evkq0089u6o4mno901wx,78.8900,16.2300,Shrigonda,Shrigonda,413701,Ahmednagar,Shrigonda City
cm725evkr008au6o4pqr234yz,79.0600,16.1100,Nagar,Nagar,414001,Ahmednagar,Nagar City
cm725evks008bu6o4stu567ab,79.2400,15.9900,Rahata,Rahata,413712,Ahmednagar,Rahata City
cm725evkt008cu6o4vwx890cd,79.4200,15.8700,Nevasa,Nevasa,414105,Ahmednagar,Nevasa City
cm725evku008du6o4yz123ef,79.5900,15.7500,Shevgaon,Shevgaon,414502,Ahmednagar,Shevgaon City
cm725evkv008eu6o4abc456gh,79.7700,15.6300,Pathardi,Pathardi,414102,Ahmednagar,Pathardi City
cm725evkw008fu6o4def789ij,79.9500,15.5100,Jamkhed,Jamkhed,413201,Ahmednagar,Jamkhed City
cm725evkx008gu6o4ghi012kl,80.1200,15.3900,Karjat,Karjat,414402,Ahmednagar,Karjat City
