id,departmentName,description,timestamp,resourceId,authorityId,hierarchyLevel,headAuthorityId
cm725dh7z0014u6h48f1o32jf,Environment Department,Department of Environment Department,2025-02-12 16:50:45.741,753,cm725901x003qu64gi8nu490s,MID,
cm725dh9h0015u6h4t5wwsnen,Encroachment Control Department,Department of Encroachment Control Department,2025-02-12 16:50:45.796,451,cm7259027003ru64gahog4oi6,MID,
cm725dhax0016u6h4hi9y0qoy,Internet Services Department,Department of Internet Services Department,2025-02-12 16:50:45.847,513,cm725902l003su64g0kdo1dm5,MID,
cm725dhc90017u6h4pclrf51x,Parks and Recreation Department,Department of Parks and Recreation Department,2025-02-12 16:50:45.894,633,cm7259031003tu64g5zv80cw5,MID,
cm725dhdq0018u6h47pt3qkl8,Price Control Department,Department of Price Control Department,2025-02-12 16:50:45.949,20,cm725903g003uu64g4vjrhe23,MID,
cm725dhf50019u6h4doj7u8um,Agriculture Department,Department of Agriculture Department,2025-02-12 16:50:45.998,158,cm725903q003vu64gz54a56bf,MID,
cm725dhjp001ku6h46h56cs13,प्रशासन विभाग,Department of प्रशासन विभाग,2025-02-12 16:50:46.164,329,cm7258zvn0038u64ghsgoxy3j,MID,
cm725dhlg001lu6h4i24bf51k,UP Power Corporation,Department of UP Power Corporation,2025-02-12 16:50:46.226,296,cm72590700042u64gxxcypidp,MID,
cm725dhmz001mu6h4g3gzaxyy,Public Services Department,Department of Public Services Department,2025-02-12 16:50:46.282,784,cm725907e0043u64g7we8lv4z,MID,
cm725dhob001nu6h4w6prlf4d,Disaster Management Department,Department of Disaster Management Department,2025-02-12 16:50:46.33,345,cm725907r0044u64gq9o6h80z,MID,
cm725dhpn001ou6h45jky4k04,Pollution Control Department,Department of Pollution Control Department,2025-02-12 16:50:46.378,249,cm72590810045u64gcp49urs7,MID,
cm725fl4x00hcu6o4h39z4fls,,"Department of ",2025-02-12 16:52:24.127,xrrjwe,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725gc6s00vvu6o4m8511wwo,UP जल निगम,Department of UP जल निगम,2025-02-12 16:52:59.187,v7lkzj,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725gcbm00vyu6o4yu0n0zas,UP पावर कॉरपोरेशन लिमिटेड,Department of UP पावर कॉरपोरेशन लिमिटेड,2025-02-12 16:52:59.36,iditua,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725gcgx00w1u6o446wznswt,नगर निगम,Department of नगर निगम,2025-02-12 16:52:59.551,l7yd1,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725gclc00w4u6o4et9hcbjz,लोक निर्माण विभाग,Department of लोक निर्माण विभाग,2025-02-12 16:52:59.711,00n88k,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725gcpm00w7u6o4lor42o0u,परिवहन विभाग,Department of परिवहन विभाग,2025-02-12 16:52:59.863,diuprn,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725hp1x01owu6o46gwd8ibx,जल विभाग,Department of जल विभाग,2025-02-12 16:54:02.515,j1f58v,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725hplz01p5u6o4lsir0e48,नगर विकास विभाग,Department of नगर विकास विभाग,2025-02-12 16:54:03.238,vyshg,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725hps101p8u6o4kbt5hwdn,यातायात विभाग,Department of यातायात विभाग,2025-02-12 16:54:03.456,wwsq2v,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725hqa701phu6o42i2gr7zg,बिजली विभाग,Department of बिजली विभाग,2025-02-12 16:54:04.109,hisxco,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
cm725hqjh01pou6o4hn0kliog,पर्यावरण विभाग,Department of पर्यावरण विभाग,2025-02-12 16:54:04.444,rimsze,cm7258yuf000gu64gokr3oqbz,DEPARTMENT,
